symbol,status,best_model,horizon,accuracy,precision,recall,f1,train_rows,test_rows,elapsed_s,error
APLAPOLLO.NS,ok,RandForest,1 Week,0.7827,0.8095,0.0705,0.1298,0,0,356.8,
APLLTD.NS,below_threshold,LGB_HiReg,6 Months,0.8716,0.5669,0.0,0.0,0,0,116.9,
APOLLOHOSP.NS,below_threshold,Ensemble,6 Months,0.7568,0.5652,0.0,0.0,0,0,172.6,
APOLLOTYRE.NS,ok,StackEnsemble,6 Months,0.8596,1.0,0.0682,0.1277,0,0,164.8,
APTUS.NS,below_threshold,TabNet,2 Weeks,0.7464,0.52,0.0,0.0,0,0,162.1,
ARE&M.NS,below_threshold,CatBoost,2 Weeks,0.7871,0.4286,0.0,0.0,0,0,145.6,
ASAHIINDIA.NS,ok,RandForest,3 Months,0.7003,0.8,0.0594,0.1106,0,0,169.4,
ASHOKLEY.NS,ok,StackEnsemble,3 Months,0.618,0.8333,0.1439,0.2454,0,0,161.4,
ASIANPAINT.NS,ok,XGBoost,2 Months,0.7003,0.7222,0.0628,0.1156,0,0,177.3,
ASTERDM.NS,ok,LightGBM,6 Months,0.7072,0.8107,0.5585,0.6614,0,0,180.0,
ASTRAL.NS,ok,Ensemble,3 Months,0.8075,0.7407,0.146,0.2439,0,0,161.3,
ASTRAZEN.NS,ok,StackEnsemble,2 Weeks,0.8415,0.8,0.069,0.127,0,0,162.6,
ATGL.NS,ok,GradBoost,2 Months,0.7575,1.0,0.0242,0.0473,0,0,152.2,
ATHERENERG.NS,no_data,,,0.0,0.0,0.0,0.0,0,0,0.2,
ATUL.NS,ok,XGB_HiReg,6 Months,0.8664,0.8082,0.7024,0.7516,0,0,120.1,
AUBANK.NS,ok,LightGBM,2 Weeks,0.6916,1.0,0.0228,0.0446,0,0,382.0,
AUROPHARMA.NS,ok,RandForest,3 Months,0.7827,0.7083,0.1328,0.2237,0,0,152.3,
AWL.NS,ok,Ensemble,6 Months,0.9743,0.8,0.2222,0.3478,0,0,149.8,
AXISBANK.NS,ok,XGB_HiReg,6 Months,0.8202,0.7014,0.799,0.747,0,0,174.8,
BAJAJ-AUTO.NS,below_threshold,XGBoost,1 Month,0.7485,0.5472,0.0,0.0,0,0,142.6,
BAJAJFINSV.NS,ok,RandForest,6 Months,0.887,0.8,0.1111,0.1951,0,0,169.5,
BAJAJHFL.NS,no_data,,,0.0,0.0,0.0,0.0,0,0,0.3,
BAJAJHLDNG.NS,below_threshold,TabNet,1 Month,0.7164,0.3563,0.0,0.0,0,0,166.6,
BAJFINANCE.NS,ok,StackEnsemble,1 Month,0.807,0.9091,0.2381,0.3774,0,0,174.7,
BALKRISIND.NS,below_threshold,Ensemble,3 Months,0.8944,0.5833,0.0,0.0,0,0,165.5,
BALRAMCHIN.NS,ok,StackEnsemble,6 Months,0.8151,0.8125,0.625,0.7065,0,0,121.2,
BANDHANBNK.NS,ok,LightGBM,2 Months,0.6807,1.0,0.1347,0.2374,0,0,160.1,
BANKBARODA.NS,ok,RandForest,3 Months,0.7981,0.7083,0.1214,0.2073,0,0,162.1,
BANKINDIA.NS,ok,CatBoost,1 Week,0.7053,0.7222,0.1696,0.2746,0,0,160.3,
BASF.NS,below_threshold,Ensemble,1 Week,0.7854,0.5333,0.0,0.0,0,0,172.3,
BATAINDIA.NS,ok,Ensemble,2 Months,0.9127,0.8,0.125,0.2162,0,0,161.4,
BAYERCROP.NS,ok,XGBoost,3 Months,0.8447,1.0,0.1228,0.2188,0,0,161.3,
BBTC.NS,below_threshold,RandForest,2 Weeks,0.768,0.55,0.0,0.0,0,0,123.9,
BDL.NS,ok,StackEnsemble,2 Months,0.7892,0.8571,0.08,0.1463,0,0,124.4,
BEL.NS,ok,CatBoost,6 Months,0.7872,0.7273,0.6995,0.7131,0,0,151.9,
BEML.NS,ok,StackEnsemble,1 Month,0.7778,0.8,0.1412,0.24,0,0,168.7,
BERGEPAINT.NS,ok,StackEnsemble,3 Months,0.854,0.766,0.5,0.605,0,0,181.3,
BHARATFORG.NS,ok,XGB_HiReg,6 Months,0.6233,0.6064,1.0,0.755,0,0,155.1,
BHARTIARTL.NS,below_threshold,RandForest,1 Month,0.7939,0.4667,0.0,0.0,0,0,160.2,
BHARTIHEXA.NS,below_threshold,StackEnsemble,2 Weeks,0.7464,0.375,0.0,0.0,0,0,24.2,
BHEL.NS,ok,XGB_HiReg,6 Months,0.7021,0.9,0.4592,0.6081,0,0,193.6,
BIKAJI.NS,below_threshold,RandForest,2 Months,0.7937,0.5833,0.0,0.0,0,0,163.3,
BIOCON.NS,ok,StackEnsemble,1 Week,0.7429,1.0,0.0526,0.1,0,0,157.3,
BLS.NS,below_threshold,GradBoost,1 Week,0.7186,0.3659,0.0,0.0,0,0,165.2,
BLUEDART.NS,ok,RandForest,3 Months,0.8665,0.7333,0.1183,0.2037,0,0,159.6,
BLUEJET.NS,ok,XGBoost,1 Month,0.693,0.6667,0.0556,0.1026,0,0,123.4,
BLUESTARCO.NS,ok,XGB_HiReg,6 Months,0.8767,1.0,0.4146,0.5862,0,0,161.1,
BOSCHLTD.NS,ok,RandForest,3 Months,0.6941,0.75,0.0585,0.1086,0,0,165.9,
BPCL.NS,ok,StackEnsemble,6 Months,0.719,0.8667,0.2889,0.4333,0,0,158.3,
BRIGADE.NS,ok,Ensemble,1 Week,0.7482,0.625,0.0556,0.102,0,0,150.2,
BRITANNIA.NS,ok,RandForest,2 Months,0.8389,0.7778,0.0625,0.1157,0,0,162.2,
BSE.NS,ok,StackEnsemble,6 Months,0.7226,0.7091,0.9949,0.828,0,0,193.0,
BSOFT.NS,below_threshold,XGBoost,2 Weeks,0.7608,0.5625,0.0,0.0,0,0,153.7,
CAMPUS.NS,ok,LightGBM,6 Months,0.9486,0.9683,0.6854,0.8026,0,0,145.7,
CAMS.NS,below_threshold,Ensemble,1 Week,0.7067,0.5714,0.0,0.0,0,0,160.1,
CANBK.NS,ok,StackEnsemble,6 Months,0.75,0.7579,0.5902,0.6636,0,0,163.5,
CANFINHOME.NS,ok,XGBoost,2 Months,0.7349,0.7377,0.2195,0.3383,0,0,163.1,
CAPLIPOINT.NS,ok,XGB_HiReg,1 Month,0.7836,0.72,0.1132,0.1957,0,0,162.0,
CARBORUNIV.NS,ok,Ensemble,6 Months,0.9127,0.7237,0.6471,0.6832,0,0,164.6,
CASTROLIND.NS,ok,Ensemble,3 Months,0.9161,0.75,0.0536,0.1,0,0,157.9,
CCL.NS,ok,LightGBM,6 Months,0.7003,0.9191,0.4325,0.5882,0,0,196.4,
CDSL.NS,ok,RandForest,3 Months,0.7785,0.6667,0.1316,0.2198,0,0,158.2,
CEATLTD.NS,ok,XGBoost,6 Months,0.661,1.0,0.0571,0.1081,0,0,163.3,
CENTRALBK.NS,below_threshold,Ensemble,6 Months,0.9589,0.375,0.0,0.0,0,0,152.9,
CENTURYPLY.NS,ok,RandForest,3 Months,0.7873,0.7143,0.1935,0.3046,0,0,108.1,
CERA.NS,ok,XGB_HiReg,6 Months,0.7928,0.9,0.0698,0.1295,0,0,156.2,
CESC.NS,below_threshold,LGB_HiReg,1 Week,0.6938,0.4839,0.0,0.0,0,0,157.8,
CGCL.NS,ok,RandForest,2 Weeks,0.755,0.7368,0.0782,0.1414,0,0,171.6,
CGPOWER.NS,ok,XGB_HiReg,3 Months,0.7453,0.7364,0.4222,0.5367,0,0,166.6,
CHALET.NS,below_threshold,XGB_HiReg,1 Month,0.7573,0.5556,0.0,0.0,0,0,156.2,
CHAMBLFERT.NS,ok,XGB_HiReg,6 Months,0.9041,1.0,0.2432,0.3913,0,0,155.6,
CHENNPETRO.NS,below_threshold,StackEnsemble,3 Months,0.5994,0.7978,0.0,0.0,0,0,163.0,
CHOICEIN.NS,ok,Ensemble,3 Months,0.7888,0.734,0.3833,0.5036,0,0,149.8,
CHOLAFIN.NS,ok,StackEnsemble,1 Month,0.7398,0.8333,0.0538,0.101,0,0,164.7,
CHOLAHLDNG.NS,ok,Ensemble,6 Months,0.793,0.7069,0.5541,0.6212,0,0,183.3,
CIPLA.NS,below_threshold,RandForest,3 Months,0.8944,0.36,0.0,0.0,0,0,157.7,
CLEAN.NS,ok,Ensemble,6 Months,0.8801,0.7857,0.141,0.2391,0,0,159.4,
COALINDIA.NS,below_threshold,GradBoost,2 Weeks,0.7954,0.4375,0.0,0.0,0,0,155.9,
COCHINSHIP.NS,ok,Ensemble,1 Month,0.7675,0.8462,0.0655,0.1215,0,0,167.1,
COFORGE.NS,ok,Ensemble,3 Months,0.7376,0.7727,0.0939,0.1675,0,0,206.0,
COHANCE.NS,ok,Ensemble,2 Weeks,0.8271,0.7,0.0565,0.1045,0,0,140.1,
COLPAL.NS,below_threshold,TabNet,1 Week,0.7825,0.3429,0.0,0.0,0,0,141.8,
CONCOR.NS,ok,Ensemble,1 Week,0.7729,0.6111,0.0675,0.1215,0,0,158.3,
CONCORDBIO.NS,ok,Ensemble,6 Months,0.9024,0.7143,0.0833,0.1493,0,0,140.8,
COROMANDEL.NS,ok,XGB_HiReg,1 Month,0.7632,0.6923,0.0539,0.1,0,0,155.4,
CRAFTSMAN.NS,below_threshold,RandForest,3 Months,0.5854,1.0,0.0,0.0,0,0,172.9,
CREDITACC.NS,ok,XGB_HiReg,6 Months,0.6387,0.7,0.0639,0.1172,0,0,153.7,
CRISIL.NS,ok,RandForest,6 Months,0.8476,0.7273,0.0851,0.1524,0,0,156.0,
CROMPTON.NS,ok,Ensemble,6 Months,0.9469,0.75,0.2432,0.3673,0,0,151.9,
CUB.NS,ok,XGBoost,1 Month,0.6418,0.7222,0.0514,0.0959,0,0,149.8,
CUMMINSIND.NS,ok,XGBoost,1 Month,0.6769,0.8214,0.179,0.2939,0,0,170.0,
CYIENT.NS,ok,TabNet,2 Weeks,0.7738,0.7059,0.0732,0.1326,0,0,148.3,
DABUR.NS,ok,XGB_HiReg,2 Months,0.8343,1.0,0.0598,0.1129,0,0,143.5,
DALBHARAT.NS,ok,CatBoost,3 Months,0.7562,1.0,0.0063,0.0126,0,0,98.7,
DATAPATTNS.NS,ok,StackEnsemble,3 Months,0.8292,0.9592,0.7421,0.8368,0,0,187.0,
DBREALTY.NS,ok,StackEnsemble,6 Months,0.9683,0.8,0.3636,0.5,0,0,166.4,
DCMSHRIRAM.NS,ok,StackEnsemble,3 Months,0.8758,0.7143,0.3061,0.4286,0,0,165.0,
DEEPAKFERT.NS,ok,StackEnsemble,6 Months,0.9041,0.7213,0.8,0.7586,0,0,154.7,
DEEPAKNTR.NS,ok,RandForest,3 Months,0.896,0.8889,0.1081,0.1928,0,0,168.6,
DELHIVERY.NS,ok,XGB_HiReg,2 Months,0.6687,0.7,0.2692,0.3889,0,0,164.4,
DEVYANI.NS,ok,RandForest,6 Months,0.9384,0.7917,0.38,0.5135,0,0,161.4,
DIVISLAB.NS,ok,RandForest,6 Months,0.8099,0.8,0.1,0.1778,0,0,169.7,
DIXON.NS,ok,Ensemble,2 Months,0.747,0.75,0.0517,0.0968,0,0,147.9,
DLF.NS,below_threshold,Ensemble,1 Month,0.7792,0.5667,0.0,0.0,0,0,150.2,
DMART.NS,ok,StackEnsemble,6 Months,0.8116,0.7143,0.0862,0.1538,0,0,154.4,
DOMS.NS,ok,StackEnsemble,2 Weeks,0.83,0.6,0.05,0.0923,0,0,144.7,
DRREDDY.NS,ok,Ensemble,3 Months,0.8556,0.7407,0.1887,0.3008,0,0,161.1,
ECLERX.NS,ok,RandForest,3 Months,0.6755,1.0,0.0896,0.1644,0,0,175.9,
EICHERMOT.NS,ok,XGB_HiReg,2 Months,0.7063,0.7812,0.1174,0.2041,0,0,162.1,
EIDPARRY.NS,ok,Ensemble,6 Months,0.7106,0.7333,0.0625,0.1152,0,0,166.7,
EIHOTEL.NS,below_threshold,RandForest,1 Month,0.7865,0.5625,0.0,0.0,0,0,147.3,
ELECON.NS,ok,RandForest,6 Months,0.7173,0.8571,0.06,0.1121,0,0,161.9,
ELGIEQUIP.NS,ok,XGBoost,2 Months,0.756,0.7931,0.2347,0.3622,0,0,167.5,
EMAMILTD.NS,ok,TabNet,2 Months,0.8313,0.7143,0.0847,0.1515,0,0,160.5,
EMCURE.NS,ok,StackEnsemble,2 Months,0.6898,1.0,0.055,0.1043,0,0,19.1,
ENDURANCE.NS,ok,XGBoost,3 Months,0.7764,0.6901,0.4949,0.5765,0,0,188.3,
ENGINERSIN.NS,ok,StackEnsemble,3 Months,0.8882,0.7521,0.9263,0.8302,0,0,124.4,
ENRIN.NS,no_data,,,0.0,0.0,0.0,0.0,0,0,0.2,
ERIS.NS,ok,LGB_HiReg,3 Months,0.8603,0.7246,0.8013,0.761,0,0,165.7,
ESCORTS.NS,ok,XGBoost,6 Months,0.8664,0.6667,0.0741,0.1333,0,0,162.3,
ETERNAL.NS,ok,XGB_HiReg,2 Months,0.7244,0.7627,0.2103,0.3297,0,0,151.5,
EXIDEIND.NS,below_threshold,TabNet,6 Months,0.8955,0.45,0.0,0.0,0,0,147.7,
FACT.NS,ok,StackEnsemble,3 Months,0.8758,1.0,0.2157,0.3548,0,0,163.9,
FEDERALBNK.NS,below_threshold,TabNet,6 Months,0.5839,0.8824,0.0,0.0,0,0,155.8,
FINCABLES.NS,ok,RandForest,2 Months,0.738,0.8,0.086,0.1553,0,0,164.8,
FINPIPE.NS,ok,RandForest,6 Months,0.8134,0.6667,0.1043,0.1805,0,0,159.4,
FIRSTCRY.NS,no_data,,,0.0,0.0,0.0,0.0,0,0,0.2,
FIVESTAR.NS,ok,XGB_HiReg,3 Months,0.7857,0.7241,0.4421,0.549,0,0,167.7,
FLUOROCHEM.NS,ok,RandForest,3 Months,0.8292,0.7647,0.2031,0.321,0,0,202.1,
FORCEMOT.NS,ok,RandForest,6 Months,0.7483,0.7705,0.8704,0.8174,0,0,217.5,
FORTIS.NS,ok,XGBoost,1 Month,0.6637,1.0,0.065,0.1221,0,0,175.6,
FSL.NS,ok,XGB_HiReg,1 Week,0.6996,0.7647,0.0594,0.1102,0,0,158.7,
GAIL.NS,ok,RandForest,1 Month,0.826,0.8,0.1221,0.2119,0,0,154.3,
GESHIP.NS,ok,LGB_HiReg,2 Months,0.6506,0.8889,0.065,0.1212,0,0,160.4,
GICRE.NS,below_threshold,XGBoost,1 Week,0.7096,0.3188,0.0,0.0,0,0,157.7,
GILLETTE.NS,ok,Ensemble,3 Months,0.8416,0.7805,0.256,0.3855,0,0,157.5,
GLAND.NS,ok,XGBoost,3 Months,0.6988,0.75,0.1274,0.2177,0,0,167.3,
GLAXO.NS,ok,LightGBM,3 Months,0.7888,0.7073,0.3412,0.4603,0,0,204.4,
GLENMARK.NS,ok,Ensemble,6 Months,0.786,0.7206,0.8,0.7582,0,0,208.9,
GMDCLTD.NS,ok,TabNet,6 Months,0.7024,0.7722,0.8299,0.8,0,0,187.5,
GMRAIRPORT.NS,ok,StackEnsemble,1 Week,0.7257,0.8333,0.0962,0.1724,0,0,185.0,
GODFRYPHLP.NS,ok,RandForest,2 Months,0.6355,0.9412,0.0623,0.1168,0,0,175.2,
GODIGIT.NS,ok,Ensemble,1 Week,0.7897,0.6429,0.0596,0.1091,0,0,24.4,
GODREJAGRO.NS,ok,Ensemble,6 Months,0.899,0.8,0.1765,0.2892,0,0,181.0,
GODREJCP.NS,ok,StackEnsemble,3 Months,0.9472,0.7273,0.75,0.7385,0,0,173.7,
GODREJIND.NS,below_threshold,TabNet,2 Months,0.6958,0.5,0.0,0.0,0,0,183.4,
GODREJPROP.NS,below_threshold,XGB_HiReg,2 Months,0.7651,0.5893,0.0,0.0,0,0,192.9,
GPIL.NS,ok,GradBoost,6 Months,0.7329,0.9204,0.4143,0.5714,0,0,184.9,
GRANULES.NS,ok,RandForest,6 Months,0.6781,1.0,0.0553,0.1048,0,0,197.9,
GRAPHITE.NS,ok,RandForest,6 Months,0.6267,1.0,0.1774,0.3013,0,0,135.0,
GRASIM.NS,ok,LGB_HiReg,2 Weeks,0.7968,0.6667,0.0552,0.1019,0,0,133.8,
GRAVITA.NS,ok,RandForest,1 Week,0.7382,0.6667,0.0635,0.1159,0,0,182.2,
GRSE.NS,ok,XGBoost,2 Weeks,0.696,1.0,0.0746,0.1388,0,0,185.0,
GSPL.NS,ok,XGB_HiReg,2 Months,0.7956,0.6129,0.2657,0.3707,0,0,177.3,
GUJGASLTD.NS,ok,GradBoost,2 Weeks,0.7695,0.6957,0.0947,0.1667,0,0,163.1,
GVT&D.NS,ok,StackEnsemble,6 Months,0.7021,1.0,0.5,0.6667,0,0,188.1,
HAL.NS,ok,StackEnsemble,6 Months,0.9589,1.0,0.25,0.4,0,0,164.1,
HAPPSTMNDS.NS,ok,LGB_HiReg,3 Months,0.9565,0.8,0.2353,0.3636,0,0,184.1,
HAVELLS.NS,ok,RandForest,2 Months,0.875,0.6667,0.092,0.1616,0,0,167.0,
HBLENGINE.NS,ok,XGB_HiReg,3 Months,0.6475,1.0,0.2199,0.3606,0,0,182.9,
HCLTECH.NS,below_threshold,RandForest,6 Months,0.7432,0.4444,0.0,0.0,0,0,206.7,
HDFCAMC.NS,ok,StackEnsemble,1 Month,0.7982,0.8,0.0556,0.1039,0,0,184.6,
HDFCBANK.NS,ok,LGB_HiReg,6 Months,0.8288,0.75,0.1111,0.1935,0,0,169.2,
HDFCLIFE.NS,ok,Ensemble,6 Months,0.8973,0.7053,0.971,0.8171,0,0,181.0,
HEG.NS,ok,RandForest,2 Weeks,0.6931,1.0,0.0575,0.1088,0,0,205.3,
HEROMOTOCO.NS,ok,XGBoost,2 Months,0.7892,0.7262,0.3427,0.4656,0,0,172.5,
HEXT.NS,no_data,,,0.0,0.0,0.0,0.0,0,0,0.2,
HFCL.NS,ok,LGB_HiReg,2 Months,0.7892,0.7302,0.2722,0.3966,0,0,186.6,
HINDALCO.NS,ok,XGB_HiReg,6 Months,0.756,0.9453,0.728,0.8225,0,0,181.3,
HINDCOPPER.NS,ok,StackEnsemble,6 Months,0.7021,0.7422,0.852,0.7933,0,0,179.0,
HINDPETRO.NS,ok,Ensemble,6 Months,0.6832,1.0,0.0561,0.1063,0,0,184.5,
HINDUNILVR.NS,ok,Ensemble,3 Months,0.8727,0.7333,0.1236,0.2115,0,0,164.9,
HINDZINC.NS,ok,RandForest,6 Months,0.6267,0.9286,0.0565,0.1066,0,0,179.2,
HOMEFIRST.NS,below_threshold,TabNet,2 Months,0.7063,0.5676,0.0,0.0,0,0,141.4,
HONASA.NS,ok,StackEnsemble,3 Months,0.7578,0.8235,0.1573,0.2642,0,0,185.3,
HONAUT.NS,ok,XGB_HiReg,1 Month,0.8423,0.8,0.1333,0.2286,0,0,179.9,
HSCL.NS,ok,StackEnsemble,1 Month,0.7164,0.85,0.1532,0.2595,0,0,183.2,
HUDCO.NS,ok,StackEnsemble,3 Months,0.8323,0.8333,0.1613,0.2703,0,0,180.7,
HYUNDAI.NS,no_data,,,0.0,0.0,0.0,0.0,0,0,0.2,
ICICIBANK.NS,ok,Ensemble,6 Months,0.8579,0.7143,0.0581,0.1075,0,0,178.4,
ICICIGI.NS,ok,RandForest,2 Months,0.8389,0.8571,0.0536,0.1008,0,0,177.8,
ICICIPRULI.NS,below_threshold,Ensemble,2 Months,0.8298,0.5,0.0,0.0,0,0,186.2,
IDBI.NS,ok,XGBoost,2 Months,0.6687,1.0,0.0756,0.1406,0,0,187.9,
IDEA.NS,ok,RandForest,6 Months,0.7996,0.7067,0.9422,0.8076,0,0,198.9,
IDFCFIRSTB.NS,below_threshold,TabNet,1 Week,0.7382,0.5667,0.0,0.0,0,0,192.4,
IEX.NS,ok,StackEnsemble,2 Weeks,0.852,0.9286,0.2889,0.4407,0,0,179.7,
IFCI.NS,ok,XGBoost,2 Months,0.6913,0.6833,0.1806,0.2857,0,0,195.6,
IGIL.NS,no_data,,,0.0,0.0,0.0,0.0,0,0,0.3,
IGL.NS,ok,Ensemble,1 Week,0.7454,0.72,0.0952,0.1682,0,0,199.6,
IIFL.NS,ok,RandForest,6 Months,0.6182,1.0,0.0785,0.1456,0,0,222.4,
IKS.NS,no_data,,,0.0,0.0,0.0,0.0,0,0,0.4,
INDGN.NS,ok,Ensemble,2 Months,0.8313,0.7917,0.1508,0.2533,0,0,26.5,
INDHOTEL.NS,below_threshold,Ensemble,1 Week,0.7568,0.5909,0.0,0.0,0,0,192.7,
INDIACEM.NS,ok,StackEnsemble,2 Months,0.7289,0.8571,0.0632,0.1176,0,0,209.7,
INDIAMART.NS,ok,StackEnsemble,2 Weeks,0.8473,0.8571,0.1034,0.1846,0,0,191.0,
INDIANB.NS,ok,StackEnsemble,6 Months,0.7021,0.7431,0.5786,0.6506,0,0,198.3,
INDIGO.NS,below_threshold,StackEnsemble,2 Weeks,0.7867,0.5,0.0,0.0,0,0,134.9,
INDUSINDBK.NS,ok,LGB_HiReg,3 Months,0.6863,0.9231,0.0563,0.1062,0,0,189.9,
INDUSTOWER.NS,ok,LightGBM,2 Weeks,0.7161,0.7333,0.0539,0.1005,0,0,199.4,
INFY.NS,below_threshold,CatBoost,1 Week,0.7597,0.3617,0.0,0.0,0,0,194.5,
INOXINDIA.NS,ok,RandForest,1 Month,0.7368,0.7857,0.0585,0.1089,0,0,150.7,
INOXWIND.NS,ok,LGB_HiReg,2 Weeks,0.7464,0.8333,0.0543,0.102,0,0,189.2,
INTELLECT.NS,ok,XGBoost,6 Months,0.7055,1.0,0.0058,0.0115,0,0,192.5,
IOB.NS,below_threshold,TabNet,1 Week,0.774,0.5882,0.0,0.0,0,0,195.0,
IOC.NS,ok,TabNet,1 Week,0.7511,0.7,0.0769,0.1386,0,0,191.7,
IPCALAB.NS,ok,Ensemble,1 Week,0.7382,0.6667,0.0532,0.0985,0,0,209.9,
IRB.NS,below_threshold,GradBoost,1 Month,0.7822,0.5238,0.0,0.0,0,0,184.8,
IRCON.NS,below_threshold,XGB_HiReg,6 Months,0.8065,0.5185,0.0,0.0,0,0,154.4,
IRCTC.NS,below_threshold,LGB_HiReg,2 Weeks,0.8545,0.5,0.0,0.0,0,0,151.2,
IREDA.NS,ok,XGBoost,6 Months,0.9658,0.7222,0.4643,0.5652,0,0,144.6,
IRFC.NS,ok,GradBoost,2 Weeks,0.8055,0.7391,0.1164,0.2012,0,0,157.5,
ITC.NS,ok,Ensemble,2 Weeks,0.9164,0.75,0.05,0.0938,0,0,114.3,
ITCHOTELS.NS,no_data,,,0.0,0.0,0.0,0.0,0,0,0.2,
ITI.NS,ok,StackEnsemble,3 Months,0.8261,0.8261,0.2676,0.4043,0,0,154.2,
J&KBANK.NS,ok,StackEnsemble,2 Weeks,0.7118,0.8333,0.0926,0.1667,0,0,158.2,
JBCHEPHARM.NS,ok,RandForest,6 Months,0.7791,0.7778,0.1007,0.1783,0,0,153.9,
JBMA.NS,ok,XGB_HiReg,6 Months,0.8425,0.8065,0.2252,0.3521,0,0,108.0,
